			GMRT Grid Version 3.4
Longitude	Latitude	Distance (km)	Elevation (m)
-159.3	52.2	0.0	-4724.4414
-159.30617	52.21232	1.4328057	-4720.927
-159.31232	52.22464	2.8656113	-4721.0186
-159.3185	52.236958	4.298417	-4722.9375
-159.32466	52.24928	5.7312226	-4727.709
-159.33084	52.261597	7.164028	-4732.826
-159.33702	52.273914	8.596834	-4734.605
-159.3432	52.286232	10.02964	-4736.4365
-159.34938	52.298553	11.462446	-4739.2
-159.35556	52.310867	12.895252	-4739.993
-159.36176	52.323185	14.328058	-4740.5967
-159.36795	52.335503	15.760864	-4731.0605
-159.37415	52.34782	17.19367	-4712.862
-159.38036	52.360134	18.626476	-4697.8438
-159.38657	52.37245	20.059282	-4724.9277
-159.39276	52.384766	21.492088	-4723.178
-159.39899	52.397083	22.924894	-4701.1064
-159.4052	52.409397	24.3577	-4699.866
-159.4114	52.42171	25.790506	-4695.964
-159.41763	52.434025	27.223312	-4696.398
-159.42386	52.44634	28.656118	-4696.7676
-159.4301	52.458652	30.088924	-4695.0796
-159.43633	52.470966	31.52173	-4691.834
-159.44257	52.48328	32.954536	-4689.774
-159.4488	52.495594	34.38734	-4692.9478
-159.45505	52.507904	35.820145	-4693.71
-159.46129	52.520218	37.25295	-4692.643
-159.46754	52.532528	38.685753	-4691.5415
-159.4738	52.54484	40.118557	-4702.052
-159.48006	52.55715	41.55136	-4724.057
-159.48631	52.56946	42.984165	-4727.344
-159.49258	52.58177	44.41697	-4719.7275
-159.49884	52.59408	45.849773	-4688.389
-159.50511	52.60639	47.282578	-4672.2183
-159.5114	52.618702	48.71538	-4675.1406
-159.51767	52.63101	50.148186	-4674.963
-159.52396	52.64332	51.58099	-4672.47
-159.53024	52.65563	53.013794	-4669.748
-159.53653	52.667934	54.446598	-4664.5474
-159.54282	52.68024	55.879402	-4660.193
-159.54912	52.69255	57.312206	-4660.5845
-159.55542	52.704857	58.74501	-4664.985
-159.56172	52.717163	60.177814	-4671.2964
-159.56802	52.72947	61.61062	-4682.19
-159.57434	52.741776	63.043423	-4691.7056
-159.58066	52.75408	64.47623	-4694.9565
-159.58698	52.766388	65.909035	-4695.4507
-159.59329	52.77869	67.34184	-4697.361
-159.59961	52.790997	68.77465	-4700.97
-159.60594	52.8033	70.20746	-4706.019
-159.61227	52.815605	71.64027	-4712.2397
-159.6186	52.827908	73.073074	-4717.2686
-159.62495	52.84021	74.50588	-4720.727
-159.63129	52.852516	75.93869	-4722.866
-159.63763	52.86482	77.3715	-4723.001
-159.644	52.87712	78.804306	-4721.186
-159.65034	52.88942	80.237114	-4718.856
-159.65671	52.901722	81.66992	-4716.9663
-159.66306	52.914024	83.10273	-4714.8936
-159.66943	52.926327	84.53554	-4712.795
-159.6758	52.938625	85.968346	-4714.5996
-159.68216	52.950924	87.40115	-4719.8955
-159.68854	52.963226	88.83396	-4727.609
-159.69492	52.975525	90.26677	-4737.282
-159.70131	52.987823	91.69958	-4750.0205
-159.70769	53.000122	93.132385	-4761.9937
-159.71408	53.01242	94.56519	-4767.05
-159.72047	53.02472	95.998	-4765.5347
-159.72687	53.037018	97.43081	-4773.3584
-159.73328	53.049316	98.86362	-4771.445
-159.73967	53.06161	100.296425	-4775.7095
-159.74608	53.07391	101.72923	-4784.9263
-159.75249	53.086205	103.16204	-4794.5444
-159.75891	53.098503	104.59485	-4806.3486
-159.76532	53.110798	106.02766	-4815.4556
-159.77174	53.123093	107.460464	-4816.81
-159.77818	53.135387	108.89327	-4834.243
-159.7846	53.147682	110.32608	-4850.18
-159.79105	53.159977	111.75889	-4866.568
-159.79747	53.17227	113.191696	-4880.3877
-159.80392	53.184566	114.624504	-4889.673
-159.81036	53.196857	116.05731	-4897.303
-159.81682	53.209152	117.49012	-4908.597
-159.82326	53.221443	118.92293	-4924.317
-159.82973	53.233738	120.355736	-4941.2383
-159.83618	53.24603	121.78854	-4967.351
-159.84264	53.25832	123.22135	-5035.3037
-159.8491	53.27061	124.65416	-5073.5186
-159.85558	53.2829	126.08697	-5107.526
-159.86206	53.295193	127.519775	-5138.5024
-159.86853	53.307484	128.95258	-5155.4297
-159.87502	53.319775	130.38538	-5184.128
-159.8815	53.33206	131.81818	-5196.7026
-159.88799	53.344353	133.25098	-5205.325
-159.89449	53.35664	134.68378	-5231.483
-159.90099	53.36893	136.11658	-5244.802
-159.90749	53.381218	137.54938	-5276.3247
-159.91399	53.393505	138.98218	-5396.396
-159.92049	53.405792	140.41498	-5511.9683
-159.927	53.41808	141.84778	-5594.5654
-159.93352	53.430367	143.28058	-5663.536
-159.94003	53.442654	144.71338	-5737.5874
-159.94656	53.454937	146.14618	-5802.51
-159.9531	53.467224	147.57898	-5848.8486
-159.95963	53.479507	149.01178	-5876.7974
-159.96616	53.491795	150.44458	-5895.721
-159.97269	53.504078	151.87738	-5955.86
-159.97923	53.51636	153.31018	-6044.006
-159.98578	53.52865	154.74298	-6142.7407
-159.99232	53.54093	156.17578	-6248.0176
-159.99889	53.553215	157.60858	-6333.6
-160.00545	53.565495	159.04138	-6375.4087
-160.01201	53.577778	160.47418	-6440.2627
-160.01857	53.59006	161.90698	-6590.0835
-160.02513	53.60234	163.33978	-6683.3477
-160.03171	53.614624	164.77258	-6589.2617
-160.03828	53.626904	166.20538	-6354.8228
-160.04486	53.639187	167.63818	-6292.226
-160.05145	53.651466	169.07098	-6146.288
-160.05804	53.663746	170.50378	-5898.8086
-160.06464	53.676025	171.93658	-5709.572
-160.07123	53.688305	173.36938	-5656.0376
-160.07782	53.700584	174.80219	-5628.6157
-160.08443	53.71286	176.23499	-5641.263
-160.09103	53.72514	177.66779	-5663.622
-160.09764	53.737415	179.10059	-5378.2935
-160.10426	53.749695	180.53339	-5063.855
-160.11089	53.76197	181.96619	-4821.452
-160.11751	53.774246	183.39899	-4656.551
-160.12413	53.786526	184.83179	-4467.1514
-160.13075	53.7988	186.26459	-4321.6475
-160.13739	53.811077	187.69739	-4274.3374
-160.14403	53.82335	189.13019	-4244.2236
-160.15068	53.835625	190.56299	-4169.543
-160.15732	53.8479	191.99579	-4087.3506
-160.16397	53.860172	193.42859	-3988.8845
-160.17062	53.872448	194.86139	-3890.5442
-160.17728	53.88472	196.29419	-3743.5757
-160.18394	53.896996	197.72699	-3579.6846
-160.19061	53.909267	199.15979	-3493.398
-160.19728	53.92154	200.59259	-3422.001
-160.20395	53.93381	202.02539	-3404.3223
-160.21063	53.946083	203.45819	-3380.5083
-160.21732	53.95835	204.89099	-3353.0134
-160.224	53.970623	206.32379	-3316.2852
-160.23068	53.982895	207.75659	-3210.596
-160.23738	53.995163	209.18939	-3094.5386
-160.24408	54.007435	210.6222	-2926.4731
-160.25078	54.019703	212.055	-2602.434
-160.25748	54.03197	213.4878	-2221.848
-160.26419	54.04424	214.9206	-2083.924
-160.2709	54.056507	216.3534	-2040.7473
-160.27762	54.068775	217.7862	-2034.1276
-160.28433	54.081043	219.219	-2075.9749
-160.29106	54.09331	220.6518	-2045.5365
-160.29779	54.105576	222.0846	-1874.0846
-160.30452	54.117844	223.5174	-1685.8812
-160.31126	54.130108	224.9502	-1576.2917
-160.318	54.142376	226.383	-1524.0331
-160.32474	54.15464	227.8158	-1516.0194
-160.3315	54.166904	229.2486	-1579.1018
-160.33824	54.17917	230.6814	-1647.2568
-160.345	54.191433	232.1142	-1681.8333
-160.35176	54.203697	233.547	-1124.0259
-160.35852	54.21596	234.9798	-584.363
-160.3653	54.22822	236.4126	-561.8319
-160.37207	54.240486	237.8454	-561.22955
-160.37885	54.252747	239.2782	-499.79276
-160.38562	54.265007	240.711	-430.178
-160.39241	54.27727	242.1438	-355.4141
-160.3992	54.28953	243.5766	-283.99658
-160.40599	54.301792	245.0094	-216.30835
-160.4128	54.314053	246.4422	-166.62108
-160.41959	54.326313	247.875	-134.98312
